Co-ordinates,REZ-W1
"Location,""Haru Oni, MG"""
2015-01-01 00:00:00,0.0
2015-01-01 01:00:00,0.0
2015-01-01 02:00:00,0.0
2015-01-01 03:00:00,0.0
2015-01-01 04:00:00,0.0
2015-01-01 05:00:00,13.95
2015-01-01 06:00:00,40.4
2015-01-01 07:00:00,91.83
2015-01-01 08:00:00,160.13
2015-01-01 09:00:00,188.74
2015-01-01 10:00:00,247.15
2015-01-01 11:00:00,295.45
2015-01-01 12:00:00,627.53
2015-01-01 13:00:00,642.99
2015-01-01 14:00:00,606.48
2015-01-01 15:00:00,567.66
2015-01-01 16:00:00,448.03
2015-01-01 17:00:00,319.3
2015-01-01 18:00:00,135.07
2015-01-01 19:00:00,70.13
2015-01-01 20:00:00,25.08
2015-01-01 21:00:00,0.29
2015-01-01 22:00:00,0.0
2015-01-01 23:00:00,0.0
2015-01-02 00:00:00,0.0
2015-01-02 01:00:00,0.0
2015-01-02 02:00:00,0.0
2015-01-02 03:00:00,0.0
2015-01-02 04:00:00,0.0
2015-01-02 05:00:00,13.75
2015-01-02 06:00:00,57.75
2015-01-02 07:00:00,135.95
2015-01-02 08:00:00,242.23
2015-01-02 09:00:00,589.88
2015-01-02 10:00:00,806.95
2015-01-02 11:00:00,971.71
2015-01-02 12:00:00,349.75
2015-01-02 13:00:00,357.11
2015-01-02 14:00:00,338.59
2015-01-02 15:00:00,672.85
2015-01-02 16:00:00,529.24
2015-01-02 17:00:00,375.88
2015-01-02 18:00:00,235.01
2015-01-02 19:00:00,42.84
2015-01-02 20:00:00,27.0
2015-01-02 21:00:00,1.63
2015-01-02 22:00:00,0.0
2015-01-02 23:00:00,0.0
2015-01-03 00:00:00,0.0
2015-01-03 01:00:00,0.0
2015-01-03 02:00:00,0.0
2015-01-03 03:00:00,0.0
2015-01-03 04:00:00,0.0
2015-01-03 05:00:00,13.55
2015-01-03 06:00:00,34.31
2015-01-03 07:00:00,91.44
2015-01-03 08:00:00,342.71
2015-01-03 09:00:00,111.27
2015-01-03 10:00:00,141.37
2015-01-03 11:00:00,165.15
2015-01-03 12:00:00,574.07
2015-01-03 13:00:00,586.47
2015-01-03 14:00:00,552.32
2015-01-03 15:00:00,623.58
2015-01-03 16:00:00,495.62
2015-01-03 17:00:00,355.69
2015-01-03 18:00:00,236.25
2015-01-03 19:00:00,42.95
2015-01-03 20:00:00,26.94
2015-01-03 21:00:00,1.51
2015-01-03 22:00:00,0.0
2015-01-03 23:00:00,0.0
2015-01-04 00:00:00,0.0
2015-01-04 01:00:00,0.0
2015-01-04 02:00:00,0.0
2015-01-04 03:00:00,0.0
2015-01-04 04:00:00,0.0
2015-01-04 05:00:00,12.66
2015-01-04 06:00:00,31.04
2015-01-04 07:00:00,70.27
2015-01-04 08:00:00,121.78
2015-01-04 09:00:00,394.8
2015-01-04 10:00:00,530.24
2015-01-04 11:00:00,647.23
2015-01-04 12:00:00,373.32
2015-01-04 13:00:00,381.91
2015-01-04 14:00:00,362.22
2015-01-04 15:00:00,277.13
2015-01-04 16:00:00,223.6
2015-01-04 17:00:00,163.42
2015-01-04 18:00:00,158.62
2015-01-04 19:00:00,82.67
2015-01-04 20:00:00,28.13
2015-01-04 21:00:00,0.22
2015-01-04 22:00:00,0.0
2015-01-04 23:00:00,0.0
2015-01-05 00:00:00,0.0
2015-01-05 01:00:00,0.0
2015-01-05 02:00:00,0.0
2015-01-05 03:00:00,0.0
2015-01-05 04:00:00,0.0
2015-01-05 05:00:00,12.03
2015-01-05 06:00:00,49.05
2015-01-05 07:00:00,117.0
2015-01-05 08:00:00,209.31
2015-01-05 09:00:00,136.09
2015-01-05 10:00:00,176.99
2015-01-05 11:00:00,210.5
2015-01-05 12:00:00,1066.87
2015-01-05 13:00:00,1091.2
2015-01-05 14:00:00,1038.05
2015-01-05 15:00:00,911.03
2015-01-05 16:00:00,722.56
2015-01-05 17:00:00,490.66
2015-01-05 18:00:00,133.74
2015-01-05 19:00:00,69.31
2015-01-05 20:00:00,24.7
2015-01-05 21:00:00,0.12
2015-01-05 22:00:00,0.0
2015-01-05 23:00:00,0.0
2015-01-06 00:00:00,0.0
2015-01-06 01:00:00,0.0
2015-01-06 02:00:00,0.0
2015-01-06 03:00:00,0.0
2015-01-06 04:00:00,0.0
2015-01-06 05:00:00,11.3
2015-01-06 06:00:00,32.38
2015-01-06 07:00:00,83.62
2015-01-06 08:00:00,330.62
2015-01-06 09:00:00,578.39
2015-01-06 10:00:00,796.55
2015-01-06 11:00:00,963.36
2015-01-06 12:00:00,324.97
2015-01-06 13:00:00,332.96
2015-01-06 14:00:00,316.76
2015-01-06 15:00:00,255.89
2015-01-06 16:00:00,207.56
2015-01-06 17:00:00,152.56
2015-01-06 18:00:00,242.45
2015-01-06 19:00:00,42.22
2015-01-06 20:00:00,26.27
2015-01-06 21:00:00,1.04
2015-01-06 22:00:00,0.0
2015-01-06 23:00:00,0.0
2015-01-07 00:00:00,0.0
2015-01-07 01:00:00,0.0
2015-01-07 02:00:00,0.0
2015-01-07 03:00:00,0.0
2015-01-07 04:00:00,0.0
2015-01-07 05:00:00,10.77
2015-01-07 06:00:00,53.75
2015-01-07 07:00:00,132.56
2015-01-07 08:00:00,241.31
2015-01-07 09:00:00,576.02
2015-01-07 10:00:00,794.84
2015-01-07 11:00:00,962.77
2015-01-07 12:00:00,221.49
2015-01-07 13:00:00,226.83
2015-01-07 14:00:00,216.28
2015-01-07 15:00:00,912.12
